A	V
Anselmo	Q n s E l m @U
Anselmo's	Q n s V l m @U z
Anshan	{ n S V n
Anshan's	{ n S { n z
Antaeus	{ n t aU s
Antaeus's	{ n t aU s
Antananarivo	{ n t { n V n 3` aI v @U
Antananarivo's	{ n t { n V n 3` i: v @U z
Antarctic	{ n t Q R k t I k
Antarctic's	{ n t Q R k t I k s
Antarctica	{ n t Q R k t I k V
Antarctica's	{ n t Q R k t I k V z
Antares	{ n t E R i: z
Antares's	{ n t Q R I s
Anthony	{ n T V n i:
Anthony's	{ n T V n i: z
Anthropocene	{ n T R V p V s i: n
Antichrist	{ n t I k R I s t
Antichrist's	{ n t I k R I s t s
Antichrists	{ n t I k R I s t s
Antietam	{ n t i: t { m
Antietam's	{ n t i: t eI m z
Antigone	{ t I g V n i:
Antigone's	{ n t I g V n i: z
Antigua	{ n t i: g w V
Antigua's	{ n t I g w Q s
Antillean	{ n t I l i: n
Antilles	{ n t I l i: z
Antilles's	{ n t I l V s
Antioch	{ n t i: Q k
Antioch's	{ n t i: Q k s
Antipas	{ n t I p V s
Antipas's	{ n t aI p { s
Antipodes	{ n t I p V d z
Antofagasta	{ n t @U f Q g Q s t V
Antofagasta's	{ n t @U f Q g { s t V z
Antoine	Q n t w Q n
Antoine's	{ n t OI n z
Antoinette	{ n t w V n E t
Antoinette's	{ n t OI n E t s
Anton	{ n t O: n
Anton's	{ n t Q n z
Antone	Q n t @U n i:
Antone's	{ n t @U n z
Antonia	{ n t @U n i: V
Antonia's	{ n t @U n i: V z
Antoninus	{ n t @U n i: n V s
Antoninus's	{ n t @U n V n V s
Antonio	{ n t @U n i: @U
Antonio's	{ n t @U n i: @U z
Antonius	{ n t @U n i: V s
Antonius's	{ n t @U n i: u: s
Antony	{ n t V n i:
Antony's	{ n t V n i: z
Antwan	{ n t w Q n
Antwan's	{ n t w Q n z
Antwerp	{ n t w 3` p
Antwerp's	{ n t w 3` p s
Anubis	eI n V b V s
Anubis's	eI n V b V s
Anzac	{ n z { k
Anzac's	{ n z O: k s
Apache	V p { tS i:
Apache's	V p { tS i: z
Apaches	V p { tS i: z
Apalachicola	{ p V l { tS V k @U l V
Apalachicola's	{ p V l { tS V k @U l V z
Apatosaurus	{ p Q t V s O: R V s
Apennines	eI p V n aI n z
Apennines's	eI p V n aI n V s
Aphrodite	{ f R V d aI t i:
Aphrodite's	{ f R V d aI t i: z
Apia	V p i: V
Apia's	eI p i: V z
Apocalypse	V p Q k V l I p s
Apocalypse's	V p Q k V l I p s V z
Apocrypha	V p Q k R I f V
Apocrypha's	V p Q k R I f V z
Apollinaire	{ p V l I n E R
Apollinaire's	{ p V l I n E R z
Apollo	V p Q l @U
Apollo's	V p Q l @U z
Apollonian	{ p V l @U n i: V n
Apollonian's	{ p V l @U n i: V n z
Apollos	V p Q l @U z
Apostle	V p Q s V l
Apostle's	V p Q s V l z
Appalachia	{ p V l { tS i: V
Appalachia's	V p V l eI tS i: V z
Appalachian	{ p V l eI tS V n
Appalachian's	{ p V l eI tS V n z
Appalachians	{ p V l eI tS V n z
Appalachians's	V p V l eI tS V n s
Appaloosa	V p V l u: s V
Appaloosa's	V p V l u: s V s
Appaloosas	V p V l u: s V s
Apple	{ p V l
Apple's	{ p V l z
Appleseed	{ p V l s i: d
Appleseed's	{ p V l s i: d z
Appleton	{ p V l t V n
Appleton's	{ p V l i: t V n z
Appomattox	V p @U m { t V k s
Appomattox's	V p @U m { t V k s
Apr	eI p 3`
Apr's	eI p 3` z
April	eI p R V l
April's	eI p R V l z
Aprils	eI p R V l z
Apuleius	{ p j u: l i: V s
Apuleius's	{ p j u: l i: u: s
Aquafresh	{ k w V f R E S
Aquafresh's	{ k w V f R E S
Aquarian	V k w E R i: V n
Aquarius	V k w E R i: V s
Aquarius's	V k w E R i: u: s
Aquariuses	V k w E R i: V s I z
Aquila	{ k w V l V
Aquila's	Q k w V l V s
Aquinas	V k w aI n V s
Aquinas's	V k w i: n { s
Aquino	V k i: n @U
Aquino's	V k i: n @U z
Aquitaine	{ k w I t eI n
Aquitaine's	{ k w I t eI n z
Ar	Q R
Ar's	Q R z
Ara	{ R V
Ara's	Q R V z
Arab	{ R V b
Arab's	{ R V b z
Arabia	V R eI b i: V
Arabia's	V R eI b i: V z
Arabian	V R eI b i: V n
Arabian's	V R eI b i: V n z
Arabians	V R eI b i: V n z
Arabic	{ R V b I k
Arabic's	V R V b I k s
Arabist	V R V b V s t
Arabist's	V R V b V s t s
Arabists	V R V b V s t s
Arabs	{ R V b z
Araby	3` eI b i:
Araby's	3` eI b aI
Araceli	{ R V s eI l i:
Araceli's	{ R V s i: l I s
Arafat	E R V f { t
Arafat's	Q R V f Q t s
Aragon	E R V g Q n
Araguaya	Q R V g w eI V
Araguaya's	Q R V g w eI V s
Aral	Q R Q l
Aral's	3` V l z
Aramaic	Q R V m eI I k
Aramaic's	Q R V m eI I k s
Aramco	3` { m k @U
Aramco's	3` V m k @U z
Arapaho	3` { p V h @U
Arapaho's	3` { p V h @U z
Arapahoes	3` { p V h @U z
Arapahos	3` { p V h @U z
Ararat	{ R V R Q t
Ararat's	{ R V R { t s
Araucanian	3` O: k eI n i: V n
Araucanian's	3` O: k eI n i: V n z
Arawak	Q R V w Q k
Arawak's	Q R V w Q k s
Arawakan	Q R Q f Q k V n
Arawakan's	Q R Q f Q k { n z
Arbitron	Q R b V t R Q n
Arbitron's	Q R b I t R V n z
Arcadia	Q R k eI d i: V
Arcadia's	Q R k V d i: V z
Arcadian	Q R k eI d i: V n
Arcadian's	Q R k eI d i: V n z
Archean	Q R tS i: V n
Archean's	Q R tS i: V n z
Archibald	Q R tS V b O: l d
Archibald's	Q R tS V b O: l d z
Archie	Q R tS i:
Archie's	Q R k i: z
Archimedes	Q R k V m i: d i: z
Archimedes's	Q R k aI m i: d E s
Arctic	Q R k t I k
Arctic's	Q R k t I k s
Arcturus	Q R k t U R V s
Arcturus's	Q R k t U R V s
Ardabil	Q R d Q b V l
Arden	Q R d V n
Arden's	Q R d V n z
Arequipa	Q R V k w i: p V
Arequipa's	Q R V k w I p V z
Ares	Q R z
Ares's	E R E s
Argentina	Q R dZ V n t i: n V
Argentina's	Q R dZ V n t i: n V z
Argentine	Q R dZ V n t i: n
Argentine's	Q R dZ V n t i: n z
Argentinean	Q R dZ V n t I n { n
Argentinian	Q R dZ V n t I n i: V n
Argentinian's	Q R dZ V n t I n i: V n z
Argentinians	Q R dZ V n t I n i: V n z
Argo	Q R g @U
Argo's	Q R g @U z
Argonaut	Q R g V n O: t
Argonaut's	Q R g V n O: t s
Argonauts	Q R g V n O: t s
Argonne	Q R g Q n
Argonne's	Q R g Q n I s
Argos	Q R g @U z
Argos's	Q R g O: s
Argus	Q R g V s
Argus's	Q R g V s
Ariadne	E R i: { d n i:
Ariadne's	E R i: { d n z
Arianism	{ R i: V n I z V m
Arianism's	Q R i: V n I z V m z
Ariel	E R i: V l
Ariel's	E R i: V l z
Aries	E R i: z
Aries's	E R i: s
Arieses	E R i: s I z
Ariosto	Q R i: Q s t @U
Ariosto's	Q R i: Q s t @U z
Aristarchus	3` V s t Q R tS V s
Aristarchus's	3` V s t Q R tS V s
Aristides	Q R I s t i: d z
Aristides's	3` I s t aI d I s
Aristophanes	{ R V s t O: f V n i: z
Aristophanes's	3` I s t O: f eI n I s
Aristotelian	3` I s t V t i: l i: V n
Aristotelian's	3` I s t V t i: l i: V n z
Aristotle	E R V s t Q t V l
Aristotle's	E R V s t Q t V l z
Arius	3` i: V s
Arius's	3` i: u: s
Ariz	Q R I z
Arizona	E R I z @U n V
Arizona's	E R I z @U n V z
Arizonan	3` I z @U n V n
Arizonan's	3` I z @U n V n z
Arizonans	3` I z @U n V n z
Arizonian	3` i: z @U n i: V n
Arizonian's	3` i: z @U n i: V n z
Arizonians	3` i: z @U n i: V n z
Arjuna	Q R dZ u: n V
Arjuna's	Q R dZ V n V z
Ark	Q R k
Ark's	Q R k s
Arkansan	Q R k { n z V n
Arkansan's	Q R k { n z V n z
Arkansans	Q R k { n z V n z
Arkansas	Q R k V n s Q z
Arkansas's	Q R k V n s Q z
Arkhangelsk	Q R k h eI n dZ E l s k
Arkhangelsk's	Q R k h eI n dZ E l s k s
Arkwright	Q R k R aI t
Arkwright's	Q R k R aI t s
Arlene	Q R l i: n
Arlene's	Q R l i: n z
Arline	Q R l aI n
Arline's	Q R l aI n z
Arlington	Q R l I N t V n
Arlington's	Q R l I N t V n z
Armageddon	Q R m V g E d V n
Armageddon's	Q R m V dZ V n z
Armageddons	Q R m V dZ V n z
Armagnac	Q R m Q g n V k
Armagnac's	Q R m Q g n { k s
Armand	Q R m V n d
Armand's	Q R m V n d z
Armando	Q R m Q n d @U
Armando's	Q R m V n d @U z
Armani	Q R m Q n i:
Armani's	Q R m Q n I s
Armenia	Q R m i: n i: V
Armenia's	Q R m i: n i: V z
Armenian	Q R m i: n i: V n
Armenian's	Q R m i: n i: V n z
Armenians	Q R m i: n i: V n z
Arminius	Q R m V n i: V s
Arminius's	Q R m V n i: u: s
Armonk	Q R m V N k
Armonk's	Q R m V N k s
Armour	Q R m 3`
Armour's	Q R m O: R z
Armstrong	Q R m s t R Q N
Armstrong's	Q R m s t R O: N z
Arneb	Q R n V b
Arneb's	Q R n V b z
Arnhem	Q R n I m
Arnhem's	Q R n I m z
Arno	Q R n @U
Arno's	Q R n @U z
Arnold	Q R n V l d
Arnold's	Q R n V l d z
Arnulfo	Q R n V l f @U
Arnulfo's	Q R n V l f @U z
Aron	E R V n
Aron's	Q R @U n z
Arrhenius	Q R h j V n i: u: z
Arrhenius's	Q R h j V n i: u: s
Arron	3` Q n
Arron's	3` Q n z
Art	Q R t
Art's	Q R t s
Artaxerxes	Q R t eI k s 3` k s I z
Artaxerxes's	Q R t eI k s 3` k s I s
Artemis	Q R t i: m I s
Artemis's	Q R t i: m I s
Arthur	Q R T 3`
Arthur's	Q R T 3` z
Arthurian	Q R T U R i: V n
Arthurian's	Q R T 3` i: V n z
Artie	Q R t i:
Artie's	Q R t i: z
Arturo	Q R t U R @U
Arturo's	Q R t U R @U s
Aruba	3` u: b V
Aruba's	3` V b V z
Aryan	Q R i: V n
Aryan's	E R i: V n z
Aryans	E R i: V n z
As	{ z
As's	{ s
Asama	{ s Q m V
Asama's	{ s Q m V z
Ascella	V s E l V
Ascella's	V s E l V z
Ascension	V s E n S V n
Ascension's	V s E n S V n z
Asgard	{ s g Q R d
Asgard's	{ s g Q R d z
Ashanti	V S { n t i:
Ashanti's	V S { n t I s
Ashcroft	{ S k R O: f t
Ashcroft's	{ S k R O: f t s
Ashe	{ S
Ashe's	{ S V z
Ashgabat	{ S g Q b V t
Ashikaga	V S I k Q g V
Ashikaga's	V S I k Q g V z
Ashkenazim	{ S k V n { z I m
Ashkenazim's	{ S k V n { z I m z
Ashkhabad	{ S k h { b { d
Ashkhabad's	{ S k h { b V d z
Ashlee	{ S l i:
Ashlee's	{ S l i: z
Ashley	{ S l i:
Ashley's	{ S l i: z
Ashmolean	{ S m @U l i: n
Ashmolean's	{ S m @U l i: n z
Ashurbanipal	{ S 3` b V n V p V l
Ashurbanipal's	{ S 3` b V n I p V l z
Asia	eI Z V
Asia's	eI Z V z
Asiago	eI Z V g @U
Asian	eI Z V n
Asian's	eI Z V n z
Asians	eI Z V n z
Asiatic	eI Z i: { t I k
Asiatic's	eI Z V t I k s
Asiatics	eI Z V t I k s
Asimov	{ s I m Q v
Asimov's	{ s I m Q v z
Asmara	{ z m Q R V
Asmara's	{ z m Q R V z
Asoka	V s @U k V
Asoka's	V s @U k V z
Aspell	{ s p E l
Aspell's	{ s p E l z
Aspen	{ s p V n
Aspen's	{ s p V n z
Asperger	V s p 3` g 3`
Asperger's	V s p 3` g 3` z
Aspidiske	{ s p I d I s k
Aspidiske's	{ s p I d I s k s
Asquith	{ s k w I T
Asquith's	V s k w I T s
Assad	V s Q d
Assad's	V s Q d z
Assam	V s { m
Assam's	V s Q m z
Assamese	V s V m i: z
Assamese's	V s V m i: s i: z
Assembly	V s E m b l i:
Assisi	V s i: s i:
Assisi's	V s i: s i: z
Assyria	V s I R i: V
Assyria's	V s I R i: V z
Assyrian	V s I R i: V n
Assyrian's	V s I R i: V n z
Assyrians	V s I R i: V n z
Astaire	V s t E R
Astaire's	V s t E R z
Astana	V s t { n V
Astana's	V s t V n V z
Astarte	{ s t 3` t
Astarte's	{ s t 3` t s
Aston	{ s t V n
Aston's	V s t V n z
Astor	{ s t 3`
Astor's	{ s t 3` z
Astoria	{ s t O: R i: V
Astoria's	{ s t O: R i: V z
Astrakhan	{ s t R V k Q n
Astrakhan's	{ s t R V k V n z
AstroTurf	{ s t R @U t 3` f
AstroTurf's	{ s t R @U t 3` f s
Asturias	{ s t U R i: V z
Asturias's	{ s t U R i: { s
Asuncion	V s V n S V n
Asuncion's	V s V n S V n z
Aswan	V s w V n
Aswan's	V s w Q n z
At	{ t
At's	{ t s
Atacama	Q t V k Q m V
Atacama's	Q t V k Q m V z
Atahualpa	{ t V h u: { l p V
Atahualpa's	{ t V h u: { l p V z
Atalanta	{ t V l { n t V
Atalanta's	Q t V l Q n t V s
Atari	V t Q R i:
Atari's	V t Q R i: z
Ataturk	{ t V t 3` k
Ataturk's	{ t V t 3` k s
Athabasca	Q T V b Q s k V
Athabasca's	Q T V b Q s k V s
Athabaskan	Q T V b Q s k V n
Athabaskan's	Q T V b Q s k V n z
Athabaskans	Q T V b Q s k V n z
Athanasius	{ T V n eI s i: I s
Athena	V T i: n V
Athena's	{ T V n V s
Athene	{ T i: n
Athene's	{ T V n z
Athenian	V T i: n i: V n
Athenian's	V T i: n i: V n z
Athenians	V T i: n i: V n z
Athens	{ T V n z
Athens's	{ T V n s
Atkins	{ t k I n z
Atkins's	{ t k I n z I z
Atkinson	{ t k V n s V n
Atkinson's	{ t k V n s V n z
Atlanta	{ t l { n t V
Atlanta's	{ t l { n t V z
Atlantes	{ t l V n t s
Atlantic	V t l { n t I k
Atlantic's	V t l { n t I k s
Atlantis	{ t l { n t I s
Atlantis's	{ t l { n t I s I z
Atlas	{ t l V s
Atlas's	{ t l V s I z
Atlases	{ t l eI s I z
Atman	{ t m V n
Atman's	{ t m V n z
Atonement	V t @U n m V n t
Atreus	V t R i: u: s
Atreus's	V t R i: u: s
Atria	eI t R i: V
Atria's	eI t R i: V z
Atropos	{ t R V p @U z
Atropos's	{ t R V p O: s
Ats	{ t s
Attic	{ t I k
Attic's	{ t I k s
Attica	{ t I k V
Attica's	{ t I k V s
Attila	V t I l V
Attila's	V t I l V z
Attlee	{ t l i:
Attlee's	{ t l i: z
Attn	{ t n
Attucks	{ t V k s
Attucks's	{ t V k s
Atwood	{ t w U d
Atwood's	{ t w U d z
Au	@U
Au's	aU z
Aubrey	O: b R i:
Aubrey's	O: b R eI z
Auckland	Q k l V n d
Auckland's	Q k l V n d z
Auden	O: d V n
Auden's	O: d V n z
Audi	O: d i:
Audi's	O: d i: z
Audion	O: d i: V n
Audion's	O: d i: V n z
Audra	O: d R V
Audra's	O: d R V s
Audrey	O: d R i:
Audrey's	O: d R eI z
Audubon	O: d V b Q n
Audubon's	Q d V b Q n z
Aug	O: g V s t
Aug's	O: g z
Augean	aU g V n
Augean's	aU g V n z
Augsburg	O: g z b 3` g
Augsburg's	aU g z b 3` g z
August	Q g V s t
August's	O: g V s t s
Augusta	V g V s t V
Augusta's	V g V s t V z
Augustan	O: g V s t V n
Augustan's	O: g V s t V n z
Augustine	Q g V s t i: n
Augustine's	O: g V s t i: n z
Augustinian	Q g V s t I n i: V n
Augustinian's	Q g V s t I n i: V n z
Augustinians	Q g V s t I n i: V n z
Augusts	O: g V s t s
Augustus	Q g V s t V s
Augustus's	O: g V s t V s
Aurangzeb	O: R Q N g z b
Aurangzeb's	O: R Q N g z E b z
Aurelia	aU 3` E l i: V
Aurelia's	aU 3` eI l i: V z
Aurelio	aU R eI l i: @U
Aurelio's	aU R V l i: @U z
Aurelius	aU 3` eI l i: I s
Aurelius's	aU 3` eI l i: u: s
Aureomycin	aU R i: Q m aI s I n
Aureomycin's	aU R i: Q m aI s I n z
Auriga	O: R i: g V
Auriga's	O: R I g V z
Aurora	3` O: R V
Aurora's	3` O: R Q z
Auschwitz	O: S w I t s
Auschwitz's	O: S w I t s
Aussie	O: s i:
Aussie's	O: s i: z
Aussies	O: s i: z
Austen	O: s t I n
Austen's	O: s t I n z
Austerlitz	O: s t 3` l I t s
Austerlitz's	O: s t 3` l I t s
Austin	O: s t V n
Austin's	O: s t V n z
Austins	O: s t V n z
Australasia	O: s t R V l eI Z V
Australasia's	O: s t R V l eI Z V z
Australasian	O: s t R V l eI Z V n
Australia	O: s t R eI l j V
Australia's	O: s t R eI l j V z
Australian	O: s t R eI l j V n
Australian's	O: s t R eI l j V n z
Australians	O: s t R eI l j V n z
Australoid	O: s t R V l OI d
Australoid's	O: s t R V l OI d z
Australopithecus	O: s t R eI l @U p I T V k V s
Australopithecus's	O: s t R eI l @U p I T V k V s
Austria	O: s t R i: V
Austria's	O: s t R i: V z
Austrian	O: s t R i: V n
Austrian's	O: s t R i: V n z
Austrians	O: s t R i: V n z
Austronesian	O: s t R @U n i: Z V n
Austronesian's	O: s t R @U n i: Z V n z
Autumn	O: t V m
Autumn's	O: t V m z
Av	{ v
Av's	{ v z
Ava	eI v V
Ava's	eI v V z
Avalon	{ v V l Q n
Avalon's	{ v V l Q n z
Ave	Q v eI
Ave's	eI v z
Aventine	Q v E n t i: n
Aventine's	Q v E n t i: n z
Avernus	V v 3` n V s
Avernus's	V v 3` n V s
Averroes	V v E R @U z
Averroes's	V v E R @U s
Avery	eI v 3` i:
Avery's	eI v 3` i: z
Avesta	V v E s t V
Avesta's	V v E s t V z
Avicenna	Q v I S E I n V
Avicenna's	Q v I S V n V z
Avignon	{ v I n j O: n
Avignon's	{ v I n j @U n z
Avila	V v I l V
Avila's	{ v V l V s
Avior	eI v j 3`
Avior's	eI v j 3` z
Avis	eI v I s
Avis's	V v I s
Avogadro	Q v Q g Q t s R @U
Avogadro's	Q v Q g V d R @U z
Avon	eI v Q n
Avon's	{ v V n z
Axis	{ k s V s
Axum	{ g z
Axum's	{ g z V s
Ayala	V j Q l V
Ayala's	aI V l V z
Ayers	E R z
Ayers's	aI 3` s
Aymara	aI m Q R V
Aymara's	aI m Q R { s
Ayrshire	E R S aI R
Ayrshire's	E R S aI R z
Ayurveda	aI u: 3` v eI d V
Ayurveda's	aI u: 3` v V d V z
Ayyubid	aI j u: b I d
Ayyubid's	aI j u: b I d z
Azana	Q z { n V
Azana's	Q z { n V z
Azania	V z V n i: V
Azania's	V z V n i: V z
Azazel	V z { z V l
Azazel's	V z { z V l z
Azerbaijan	Q z 3` b aI dZ Q n
Azerbaijan's	Q z 3` b aI dZ Q n z
Azerbaijani	Q z 3` b aI dZ Q n i:
Azerbaijani's	Q z 3` b aI dZ Q n i: z
Azerbaijanis	Q z 3` b aI dZ Q n i: z
Azores	V z O: R z
Azores's	V z O: R I s
Azov	Q z Q v
Azov's	V z Q v z
Aztec	{ z t E k
Aztec's	{ z t E k s
Aztecan	{ z t E k V n
Aztecan's	{ z t V k V n z
Aztecs	{ z t E k s
Aztlan	{ z t l V n
Aztlan's	{ z t l { n z
B	b i:
B's	b i: E s
BA	b i: eI
BA's	b { s
BASIC	b i: eI E s aI s i:
BASIC's	b eI s I k s
BASICs	b eI s I k s
BB	b i: b i:
BB's	b i: b i: E s
BBB	b i: b i: b i:
BBB's	b i: b i: b i: E s
BBC	b i: b i: s i:
BBC's	b i: b i: s i: E s
BBQ	b i: b i: k j u:
BBS	b i: b i: E s
BBSes	b i: t i: v i: d i: z
BC	b i: s i:
BC's	b i: s i: E s
BFF	b i: E f E f
BIA	b i: aI eI
BIOS	b i: aI @U E s
BITNET	b i: aI t i: E n i: t i:
BLT	b i: E l t i:
BLT's	b i: E l t i: E s
BLTs	b i: E l t i: E s
BM	b i: E m
BM's	b i: E m E s
BMW	b i: E m d V b l j u:
BMW's	b i: E m d V b l j u: E s
BO	b i: @U
BP	b i: p i:
BP's	b i: p i: E s
BPOE	b i: p i: @U i:
BR	b i: 3`
BS	b i: E s
BS's	b i: E s E s
BSA	b i: E s eI
BSD	b i: E s d i:
BSD's	b i: E s d i: E s
BSDs	b i: E s d i: E s
BTU	b i: t i: j u:
BTW	b i: t i: d V b l j u:
BYOB	b i: w aI @U b i:
Ba	b Q
Ba's	b { s
Baal	b Q l
Baal's	b { l z
Baals	b { l z
Baath	b Q T
Baath's	b Q T s
Baathist	b { T I s t
Baathist's	b { T I s t s
Babbage	b { b I dZ
Babbage's	b { b I dZ I z
Babbitt	b { b I t
Babbitt's	b { b V t s
Babel	b { b V l
Babel's	b Q b V l z
Babels	b Q b V l z
Babylon	b { b V l Q n
Babylon's	b { b I l Q n z
Babylonia	b { b V l O: n i: V
Babylonia's	b { b V l @U n i: V z
Babylonian	b { b V l @U n i: V n
Babylonian's	b { b V l @U n i: V n z
Babylonians	b { b V l @U n i: V n z
Babylons	b { b I l Q n z
Bacall	b V k O: l
Bacall's	b V k { l z
Bacardi	b V k Q R d i:
Bacardi's	b V k Q R d I s
Bacchanalia	b { k V n eI l j V
Bacchanalia's	b { k V n eI l j V z
Bacchic	b { tS I k
Bacchus	b { k I s
Bacchus's	b { k V s
Bach	b Q k
Bach's	b { k s
Backus	b { k V s
Backus's	b { k V s
Bacon	b eI k V n
Bacon's	b eI k V n z
Bactria	b { k t R i: V
Bactria's	b { k t R i: V z
Baden	b eI d V n
Baden's	b Q d V n z
Badlands	b { d l { n d z
Badlands's	b { d l { n d V s
Baedeker	b eI d V k 3`
Baedeker's	b eI d V k 3` z
Baedekers	b eI d V k 3` z
Baez	b aI E z
Baez's	b aI E z
Baffin	b { f I n
Baffin's	b { f I n z
Baggies	b { g i: z
Baggies's	b { g i: s
Baghdad	b { g d { d
Baghdad's	b { g d { d z
Baguio	b V g w aI l
Baguio's	b V g w aI l z
Baha'i	b Q h eI
Baha'i's	b Q h Q I z
Baha'ullah	b eI h O: l V
Baha'ullah's	b eI h O: l Q z
Bahama	b V h Q m V
Bahama's	b V h Q m V z
Bahamanian	b V h V m eI n i: V n
Bahamas	b V h Q m V z
Bahamas's	b V h Q m V s
Bahamian	b V h eI m i: V n
Bahamian's	b V h eI m i: V n z
Bahamians	b V h eI m i: V n z
Bahia	b Q h i: V
Bahia's	b Q h i: V z
Bahrain	b Q R eI n
Bahrain's	b Q R eI n z
Baikal	b aI k V l
Baikal's	b aI k V l z
Bailey	b eI l i:
Bailey's	b eI l i: z
Baird	b E R d
Baird's	b E R d z
Bakelite	b V k l aI t
Bakelite's	b V k l aI t s
Baker	b eI k 3`
Baker's	b eI k 3` z
Bakersfield	b eI k 3` z f i: l d
Bakersfield's	b eI k 3` z f i: l d z
Baku	b Q k u:
Baku's	b { k I s
Bakunin	b { k u: n I n
Bakunin's	b { k V n I n z
Balanchine	b { l V n tS i: n
Balanchine's	b { l V n tS i: n z
Balaton	b { l Q t V n
Balaton's	b { l V t V n z
Balboa	b Q l b @U V
Balboa's	b { l b @U z
Balder	b O: l d 3`
Balder's	b O: l d 3` z
Baldwin	b O: l d w V n
Baldwin's	b O: l d w V n z
Baldwins	b O: l d w V n z
Balearic	b V l i: R I k
Balearic's	b V l i: R I k s
Balfour	b { l f O: R
Balfour's	b { l f O: R z
Bali	b Q l i:
Bali's	b Q l i: z
Balinese	b { l I n i: z
Balinese's	b { l I n i: s V z
Balkan	b O: l k V n
Balkan's	b O: l k V n z
Balkans	b O: l k V n z
Balkans's	b O: l k V n s
Balkhash	b { l k h { S
Balkhash's	b { l k h { S I z
Ball	b O: l
Ball's	b O: l z
Ballard	b { l 3` d
Ballard's	b { l 3` d z
Balthazar	b { l T V z 3`
Balthazar's	b { l T V z 3` z
Baltic	b O: l t I k
Baltic's	b O: l t I k s
Baltimore	b O: l t V m O: R
Baltimore's	b O: l t V m O: R z
Baluchistan	b V l u: S I s t V n
Baluchistan's	b V l u: S I s t { n z
Balzac	b Q l z { k
Balzac's	b Q l z O: k s
Bamako	b { m V k @U
Bamako's	b { m Q k @U z
Bambi	b { m b i:
Bambi's	b { m b I s
Banach	b { n V k
Banach's	b { n { k s
Bancroft	b { N k R O: f t
Bancroft's	b { n k R O: f t s
Bandung	b { n d V N
Bandung's	b { n d V N z
Bangalore	b { N g V l O: R
Bangalore's	b { N g V l O: R z
Bangkok	b { N k Q k
Bangkok's	b { N k Q k s
Bangladesh	b { N l V d E S
Bangladesh's	b { N l V d E S I z
Bangladeshi	b { N l V d E S i:
Bangladeshi's	b { N l V d E S i: z
Bangladeshis	b { N l V d E S i: z
Bangor	b { N g 3`
Bangor's	b { N @U R z
Bangui	b { N g aI
Bangui's	b { N g w Q
Banjarmasin	b Q n dZ Q R m V s I n
Banjarmasin's	b Q n dZ Q R m V s I n z
Banjul	b Q n dZ u: l
Banjul's	b Q n dZ V l z
Banks	b { N k s
Banks's	b { N k s I z
Banneker	b { n i: V k 3`
Banneker's	b { n i: V k 3` z
Bannister	b { n V s t 3`
Bannister's	b { n I s t 3` z
Banting	b { n t I N
Banting's	b { n t I N z
Bantu	b { n t u:
Bantu's	b { n t V s
Bantus	b { n t V s
Baotou	b aU t u:
Baotou's	b aU t V s
Baptist	b { p t V s t
Baptist's	b { p t V s t s
Baptiste	b V p t I s t
Baptiste's	b { p t V s t s
Baptists	b { p t V s t s
Barabbas	b Q R V b V s
Barabbas's	b Q R V b { s
Barack	b 3` { k
Barack's	b 3` { k s
Barbadian	b Q R b eI d i: V n
Barbadian's	b Q R b eI d i: V n z
Barbadians	b Q R b eI d i: V n z
Barbados	b Q R b eI d @U s
Barbados's	b Q R b eI d O: s
Barbara	b Q R b 3` V
Barbara's	b Q R b 3` V z
Barbarella	b Q R b Q R E l V
Barbarella's	b Q R b Q R E l V z
Barbarossa	b Q R b Q R @U s V
Barbarossa's	b Q R b Q R @U s V s
Barbary	b Q R b 3` i:
Barbary's	b Q R b Q R i: z
Barber	b Q R b 3`
Barber's	b Q R b 3` z
Barbie	b Q R b i:
Barbie's	b Q R b i: z
Barbour	b Q R b 3`
Barbour's	b Q R b 3` z
Barbra	b Q R b R V
Barbra's	b Q R b R Q z
Barbuda	b Q R b u: d V
Barbuda's	b Q R b V d V z
Barcelona	b Q R s I l @U n V
Barcelona's	b Q R s I l @U n V z
Barclay	b Q R k l eI
Barclay's	b Q R k l i: z
Barclays	b Q R k l i: z
Barclays's	b Q R k l i: z I z
Bardeen	b Q R d i: n
Bardeen's	b Q R d i: n z
Barents	b E R V n t s
Barents's	b E R V n t V s
Barker	b Q R k 3`
Barker's	b Q R k 3` z
Barkley	b Q R k l i:
Barkley's	b Q R k l eI z
Barlow	b Q R l @U
Barlow's	b Q R l @U z
Barnabas	b Q R n V b V s
Barnabas's	b Q R n V b V s
Barnaby	b Q R n V b i:
Barnaby's	b Q R n V b i: z
Barnard	b Q R n Q R d
Barnard's	b Q R n 3` d z
Barnaul	b Q R n @U l
Barnaul's	b Q R n @U l z
Barnes	b Q R n z
Barnes's	b Q R n V s
Barnett	b Q R n E t
Barnett's	b Q R n E t s
Barney	b Q R n i:
Barney's	b Q R n i: z
Barnum	b Q R n V m
Barnum's	b Q R n V m z
Baroda	b E R @U d V
Baroda's	b E R @U d V z
Barquisimeto	b Q R k V z V m E t @U
Barquisimeto's	b Q R k V z V m t @U z
Barr	b Q R
Barr's	b Q R z
Barranquilla	b { R V N k w I l V
Barranquilla's	b { R V N k w I l V z
Barrera	b Q R E R V
Barrera's	b Q R E R Q z
Barrett	b { R I t
Barrett's	b { R I t s
Barrie	b { R i:
Barrie's	b { R i: z
Barron	b { R V n
Barron's	b { R V n z
Barry	b { R i:
